Channel Url,Channel Title
http://www.youtube.com/channel/UC-4HMv1j00QTebcFg4mV2DQ,Paul Barton
http://www.youtube.com/channel/UC-8DZ-sTOoohhzndLNl4w1A,astrovlog
http://www.youtube.com/channel/UC-8UfJQgsfHjTNxdpN52DSQ,Natalia Vidier
http://www.youtube.com/channel/UC-9Xt9VR4Y7mPl6lGp-gojA,FIM EWC
http://www.youtube.com/channel/UC-CzcI6PYqdjD-rOhbstIqg,Estudia el teórico
http://www.youtube.com/channel/UC-EQuKEKWcAsXZeXduQCASQ,Nirmalight Sanddesh
http://www.youtube.com/channel/UC-GeBX8ZDZnwL-tKuymWewg,NAOV
http://www.youtube.com/channel/UC-M8TJCgpun5of9S9LsVLsQ,MOTOS CHINAS punto CDI
http://www.youtube.com/channel/UC-P5wGpW529FNfnQxJvCXEg,Dindigul Food Court
http://www.youtube.com/channel/UC-Pk-TTaSrDOjkPKQ7C8HXQ,Skate IQ
http://www.youtube.com/channel/UC-QSR-kjo5d28JIzp89Xf8g,FortNine en Español
http://www.youtube.com/channel/UC-SmvXYN6TTW9KEtCw5M27g,Airsoftitaca
http://www.youtube.com/channel/UC-VPSQdVNJyI1afN27L9Jgw,UFO SECTION 51
http://www.youtube.com/channel/UC-XQD7rFBOVujM4KXbDrraw,Average White Band
http://www.youtube.com/channel/UC-XbkodADFxOT1yYE44CI6w,GoodPlanet
http://www.youtube.com/channel/UC-YobggyIsJweEvw-87dJVw,l4a9z4
http://www.youtube.com/channel/UC-auZz-ZrtvK4PXYy5AMtxA,sebastian vittel
http://www.youtube.com/channel/UC-cLXV_UA6EnqfjbpNoGaIw,Planet Doc
http://www.youtube.com/channel/UC-dMAXLc8dT5moG2YSFGw9A,Lakshmi Bose
http://www.youtube.com/channel/UC-e4B6ZM0343Yml6lrK7oyg,Ministerio Septimo Milenio
http://www.youtube.com/channel/UC-eZBiC67BMo8rTQZzC8-Mg,Iván de Federal Plumbing
http://www.youtube.com/channel/UC-g6IEU-QOcHoIKbdJXcB9g,JR Hobbs
http://www.youtube.com/channel/UC-hREIAl81V4_vhfyCGFLzA,Josean MG
http://www.youtube.com/channel/UC-i7kEDbPfNo4qmHkBL90UQ,Best Pixel Repair
http://www.youtube.com/channel/UC-m0_hGQ9P8o8_cWHoacScg,Los Gandules
http://www.youtube.com/channel/UC-mGhcKk7BtIA8fe-PfBzuQ,Buttery Films
http://www.youtube.com/channel/UC-nZSmVyqbbRHwK6VBXxN2A,Conocimiento Ancestral
http://www.youtube.com/channel/UC-pAa-ahMYrLwctkV7tsp0w,Antonio Maestro
http://www.youtube.com/channel/UC-pa_nxZ7-ti48Cf8DBooLA,Alchemy
http://www.youtube.com/channel/UC-smeLB9AnOTeypr1YyjJ3A,ARTE Concert
http://www.youtube.com/channel/UC-tPjU6UUM_S9nxok4_KExw,รถบ้านบ้าน Official
http://www.youtube.com/channel/UC-uE_SIII3pIGQFns9Maygg,Markus Stark
http://www.youtube.com/channel/UC-vQ0o1-FxwJAJGOgGu0bBQ,Drum Channel
http://www.youtube.com/channel/UC-wTvNazsjkiOyqF2b_5VOg,Camden Stewart
http://www.youtube.com/channel/UC-xR2y2wtJX5OX6scfQdEMQ,ADAM RAGA
http://www.youtube.com/channel/UC-yHapH6mW1ceZ_5PDUf1_g,GTWorld
http://www.youtube.com/channel/UC-zK3cJdazy01AKTu8g_amg,Neue Horizonte
http://www.youtube.com/channel/UC-zx3tEi3t7JYCeR09f7Tpw,Technical chahal 1M
http://www.youtube.com/channel/UC0-bIGKsCl9aTXMSaRnq9-Q,Nirmal Gyan Program
http://www.youtube.com/channel/UC02-B1pxlhBBgaLI77qqmeA,Woodworking Craftsman
http://www.youtube.com/channel/UC06hapPRdbPD2XXnbxNwwag,Editorial Sirio
http://www.youtube.com/channel/UC0CV1qElTaD4bl-jm5xBKRQ,Dani Díaz
http://www.youtube.com/channel/UC0GidNYiY_s-OPEGB32JFUw,Akra Jazz Festival
http://www.youtube.com/channel/UC0QylGKU90BKVgq6ujQL0_g,Dominic Flynn
http://www.youtube.com/channel/UC0S1esb_U7rKNF9PbsOdLGw,funnybff
http://www.youtube.com/channel/UC0Tm1HEh5dShjAbZsA7kPbQ,jeremias romero
http://www.youtube.com/channel/UC0Wg1TUmlxj6ihalJPxHyqg,Angelatedo
http://www.youtube.com/channel/UC0_CSKUIVVFlfocgezQEBDg,Eric Dubay
http://www.youtube.com/channel/UC0aa99ACWpxEu1kUvjJYjCA,Kate Hacks
http://www.youtube.com/channel/UC0eYrD6sRoLBvq_c4Jri-0A,Mammoth Bikes
http://www.youtube.com/channel/UC0fcnCzeRithSR-JeRAs7bA,Clínica Dr. Vega
http://www.youtube.com/channel/UC0jiNufsOcA5pDjikYlSTxA,HERMANOS BAREA 2
http://www.youtube.com/channel/UC0lfD4_8oC4VgQMMuFasylA,Mohd izierizal Japar
http://www.youtube.com/channel/UC0mJA1lqKjB4Qaaa2PNf0zg,Red Bull Motorsports
http://www.youtube.com/channel/UC0njhpkfdhsh_svSBIVGqMQ,VideoTeKa
http://www.youtube.com/channel/UC0ntBMtAa1ecIP3Yu5lktCg,Best Just For Laughs Gags
http://www.youtube.com/channel/UC0ozbDyltrIMr3m8j9c-vcg,Hondakiller2
http://www.youtube.com/channel/UC0pUPKvpzba_Hi3I-6gHxBQ,Miguel Noche
http://www.youtube.com/channel/UC0sRFf9xyBHgb3_G0ZYPnLQ,Gates Wildlife Control
http://www.youtube.com/channel/UC0t8j4-KYZ_u8FIe8FAkC1A,JARO Medien  
http://www.youtube.com/channel/UC0vUzMcju3UhoN0Vs8hnIJg,Dan Posen
http://www.youtube.com/channel/UC0vn8ISa4LKMunLbzaXLnOQ,GBNews
http://www.youtube.com/channel/UC0xhaPQ8dbeSH7M_HdtX02w,Habil Sagar
http://www.youtube.com/channel/UC0yFbYmWHJT-6vSEne1XGdw,RAPALJE Celtic Folk Music
http://www.youtube.com/channel/UC161MHoBdelWj1ppgUNABAA,Luke Spud
http://www.youtube.com/channel/UC16qAvKjeSXaNU0FksNxH8w,jazzhole13
http://www.youtube.com/channel/UC19elIm-yailRBWpJGSqdHg,Magistrado Anticorrupción TV
http://www.youtube.com/channel/UC19jWo_U4oze5vzrAS3uW-A,Liu Suria
http://www.youtube.com/channel/UC1DL0kptkWhQdOd3DQFpjKg,Taller de Músics
http://www.youtube.com/channel/UC1DiSJ7Hyb9WaBbyIIPNHwg,Source of Divine Love
http://www.youtube.com/channel/UC1K4AhffR5z_zS7XUeRUEMg,El Garito del Jazz
http://www.youtube.com/channel/UC1KOOWHthbQVXH2kZue3_xA,EVNautilus
http://www.youtube.com/channel/UC1LLY0-2o9oE-dcPmQbDcDg,Gonzalo Ré
http://www.youtube.com/channel/UC1VLQPn9cYSqx8plbk9RxxQ,The Action Lab
http://www.youtube.com/channel/UC1W8ShdwtfgjRHdbl1Lctcw,NASS
http://www.youtube.com/channel/UC1XAbIlGFoXKEa8sLqqykkw,SahajaYogaTV
http://www.youtube.com/channel/UC1YiUYJZqra5s3ti5XktjuQ,Mega Arqueología
http://www.youtube.com/channel/UC1ZRy6KCEmSQtJ8SeM0ckjA,FLAT OUT TRUTH (Terry R Eicher)
http://www.youtube.com/channel/UC1ZzIL0Iu2jRXX3iwY2UYCA,Sharad Maholay
http://www.youtube.com/channel/UC1bpWi5e8dVg33QEJ4v_LSQ,JuanraKalinga
http://www.youtube.com/channel/UC1bpijD0RHo2thAWaMrNhUg,IPP Formación para la vida real
http://www.youtube.com/channel/UC1cZk4lbS6FhhZwdcd_nPdg,Beltaine - Topic
